Name: name1
Start coordinates: (10, 100, 11)
Velocity: (2, 34, 0)
t - time past
r - real
p - predicted
s - sigma

t: 0	r: 10 100 11	p: 10.0834 100.012 11	s: 0.00278044
t: 1	r: 12 134 11	p: 11.9437 133.912 11	s: 0.00158043
t: 2	r: 16 202 11	p: 16.0258 202.034 11	s: 0.000539458
t: 3	r: 22 304 11	p: 21.9811 304.031 11	s: 0.000288253
t: 4	r: 30 440 11	p: 29.7344 440.196 11	s: 0.00295472
t: 5	r: 40 610 11	p: 39.558 610.05 11	s: 0.00368322
t: 6	r: 52 814 11	p: 52.2918 813.449 11	s: 0.00188437
t: 7	r: 66 1052 11	p: 66.5267 1052.51 11	s: 0.00266506
t: 8	r: 82 1324 11	p: 82.8326 1323.42 11	s: 0.00338751
t: 9	r: 100 1630 11	p: 98.858 1631.2 11	s: 0.00381457
t: 10	r: 120 1970 11	p: 119.318 1970.97 11	s: 0.00190037
t: 11	r: 142 2344 11	p: 140.824 2343.87 11	s: 0.00275974
t: 12	r: 166 2752 11	p: 165.253 2753.01 11	s: 0.00150445
t: 13	r: 192 3194 11	p: 193.046 3193.57 11	s: 0.00181735
t: 14	r: 220 3670 11	p: 217.229 3668.98 11	s: 0.00419904
t: 15	r: 250 4180 11	p: 246.753 4178.77 11	s: 0.00433102
t: 16	r: 282 4724 11	p: 281.724 4724.72 11	s: 0.000329992
t: 17	r: 316 5302 11	p: 316.888 5303.29 11	s: 0.000940689
t: 18	r: 352 5914 11	p: 347.593 5909.7 11	s: 0.00418031
t: 19	r: 390 6560 11	p: 390.553 6555.67 11	s: 0.000521046
t: 20	r: 430 7240 11	p: 432.193 7246.54 11	s: 0.00172662
t: 21	r: 472 7954 11	p: 478.959 7955.71 11	s: 0.00491503
t: 22	r: 516 8702 11	p: 514.222 8716.58 11	s: 0.00127698
t: 23	r: 562 9484 11	p: 561.17 9480.24 11	s: 0.000509629
t: 24	r: 610 10300 11	p: 610.591 10289.4 11	s: 0.000470444
t: 25	r: 660 11150 11	p: 659.837 11147.8 11	s: 0.00010552
t: 26	r: 712 12034 11	p: 709.713 12042.1 11	s: 0.0010939
t: 27	r: 766 12952 11	p: 776.067 12956.7 11	s: 0.00438259
t: 28	r: 822 13904 11	p: 831.201 13912.9 11	s: 0.00373714
t: 29	r: 880 14890 11	p: 874.379 14876.2 11	s: 0.0021514
t: 30	r: 940 15910 11	p: 958.13 15917.7 11	s: 0.00643121
t: 31	r: 1002 16964 11	p: 997.08 16965.5 11	s: 0.00163695
t: 32	r: 1066 18052 11	p: 1067.82 18071.3 11	s: 0.000671322
t: 33	r: 1132 19174 11	p: 1142.71 19172.6 11	s: 0.00315425
t: 34	r: 1200 20330 11	p: 1189.79 20357.8 11	s: 0.00287162
t: 35	r: 1270 21520 11	p: 1267.1 21528 11	s: 0.0007712
t: 36	r: 1342 22744 11	p: 1345.71 22731.7 11	s: 0.00093895
t: 37	r: 1416 24002 11	p: 1427.06 24017.3 11	s: 0.0026114
t: 38	r: 1492 25294 11	p: 1485.89 25306.4 11	s: 0.00137481
t: 39	r: 1570 26620 11	p: 1563.11 26644.3 11	s: 0.00149401
t: 40	r: 1650 27980 11	p: 1672.4 27985.6 11	s: 0.00452632
t: 41	r: 1732 29374 11	p: 1695.44 29368.8 11	s: 0.00703664
t: 42	r: 1816 30802 11	p: 1801.3 30805.9 11	s: 0.00269842
t: 43	r: 1902 32264 11	p: 1913.97 32222.6 11	s: 0.00214173
t: 44	r: 1990 33760 11	p: 2004.55 33758.1 11	s: 0.00243648
t: 45	r: 2080 35290 11	p: 2087.26 35293.6 11	s: 0.00116457
t: 46	r: 2172 36854 11	p: 2148.39 36854.9 11	s: 0.00362326
t: 47	r: 2266 38452 11	p: 2301.7 38432.9 11	s: 0.00525394
t: 48	r: 2362 40084 11	p: 2364.92 40044.8 11	s: 0.000525522
t: 49	r: 2460 41750 11	p: 2467.21 41750.1 11	s: 0.000977012
t: 50	r: 2560 43450 11	p: 2545.35 43440.8 11	s: 0.00190867
t: 51	r: 2662 45184 11	p: 2652.86 45245.8 11	s: 0.00123195
t: 52	r: 2766 46952 11	p: 2795.42 46916.5 11	s: 0.0035546
t: 53	r: 2872 48754 11	p: 2887.77 48712.6 11	s: 0.00185259
t: 54	r: 2980 50590 11	p: 3003.26 50611.8 11	s: 0.00260571
t: 55	r: 3090 52460 11	p: 3155.04 52475.9 11	s: 0.00701743
t: 56	r: 3202 54364 11	p: 3160.81 54351.5 11	s: 0.00428845
t: 57	r: 3316 56302 11	p: 3234.5 56298 11	s: 0.00819237
t: 58	r: 3432 58274 11	p: 3442.2 58329.3 11	s: 0.00104015
t: 59	r: 3550 60280 11	p: 3581.11 60261.5 11	s: 0.00292319
t: 60	r: 3670 62320 11	p: 3693.89 62267.1 11	s: 0.00218835
t: 61	r: 3792 64394 11	p: 3831.96 64356.8 11	s: 0.00351804
t: 62	r: 3916 66502 11	p: 3905.92 66505.5 11	s: 0.000858077
t: 63	r: 4042 68644 11	p: 4058.02 68656.3 11	s: 0.00132207
t: 64	r: 4170 70820 11	p: 4170.74 70790.3 11	s: 0.000151867
t: 65	r: 4300 73030 11	p: 4303.96 73096.7 11	s: 0.00043244
t: 66	r: 4432 75274 11	p: 4408.76 75340.5 11	s: 0.00177279
t: 67	r: 4566 77552 11	p: 4571.29 77594 11	s: 0.000426172
t: 68	r: 4702 79864 11	p: 4688.25 79945 11	s: 0.00103199
t: 69	r: 4840 82210 11	p: 4866.58 82183.1 11	s: 0.00183404
t: 70	r: 4980 84590 11	p: 5016.15 84491.2 11	s: 0.00245089
t: 71	r: 5122 87004 11	p: 5107.53 86988.1 11	s: 0.000943528
t: 72	r: 5266 89452 11	p: 5210.19 89423.1 11	s: 0.00353447
t: 73	r: 5412 91934 11	p: 5400.08 91925.7 11	s: 0.000734718
t: 74	r: 5560 94450 11	p: 5532.03 94320.5 11	s: 0.00173827
t: 75	r: 5710 97000 11	p: 5751.23 96896.3 11	s: 0.0024333
t: 76	r: 5862 99584 11	p: 5804.32 99425.7 11	s: 0.00332264
t: 77	r: 6016 102202 11	p: 5985.93 102334 11	s: 0.00172061
t: 78	r: 6172 104854 11	p: 6183.21 104696 11	s: 0.000786146
t: 79	r: 6330 107540 11	p: 6234.78 107581 11	s: 0.0050157
t: 80	r: 6490 110260 11	p: 6548.9 110324 11	s: 0.00303158
t: 81	r: 6652 113014 11	p: 6733.34 113017 11	s: 0.00407578
t: 82	r: 6816 115802 11	p: 6878.85 115767 11	s: 0.00307525
t: 83	r: 6982 118624 11	p: 6987.8 118544 11	s: 0.000357457
t: 84	r: 7150 121480 11	p: 7055.26 121437 11	s: 0.00441817
t: 85	r: 7320 124370 11	p: 7428.21 124384 11	s: 0.00492762
t: 86	r: 7492 127294 11	p: 7439.74 127305 11	s: 0.00232543
t: 87	r: 7666 130252 11	p: 7555.44 130111 11	s: 0.00482071
t: 88	r: 7842 133244 11	p: 7867.31 133184 11	s: 0.00108608
t: 89	r: 8020 136270 11	p: 7908.69 136158 11	s: 0.00463451
t: 90	r: 8200 139330 11	p: 8235.9 139302 11	s: 0.00146088
t: 91	r: 8382 142424 11	p: 8387.66 142466 11	s: 0.000245336
t: 92	r: 8566 145552 11	p: 8529.67 145452 11	s: 0.00143222
t: 93	r: 8752 148714 11	p: 8805.4 148788 11	s: 0.00204051
t: 94	r: 8940 151910 11	p: 9009.07 151938 11	s: 0.00257608
t: 95	r: 9130 155140 11	p: 9102.45 155229 11	s: 0.00102409
t: 96	r: 9322 158404 11	p: 9257.46 158159 11	s: 0.00236454
t: 97	r: 9516 161702 11	p: 9397.65 161640 11	s: 0.00414759
t: 98	r: 9712 165034 11	p: 9681.93 164882 11	s: 0.00107648
t: 99	r: 9910 168400 11	p: 9814.6 168558 11	s: 0.00322408
t: 100	r: 10110 171800 11	p: 10051.5 171577 11	s: 0.00197597
t: 101	r: 10312 175234 11	p: 10340.1 175318 11	s: 0.000921644
t: 102	r: 10516 178702 11	p: 10470.2 178693 11	s: 0.0014507
t: 103	r: 10722 182204 11	p: 10820.3 182084 11	s: 0.00306455
t: 104	r: 10930 185740 11	p: 10765.9 185892 11	s: 0.00501112
t: 105	r: 11140 189310 11	p: 11155.6 189382 11	s: 0.000483204
t: 106	r: 11352 192914 11	p: 11230.5 192882 11	s: 0.00356837
t: 107	r: 11566 196552 11	p: 11596.4 196708 11	s: 0.000915594
t: 108	r: 11782 200224 11	p: 11702 200369 11	s: 0.00227657
t: 109	r: 12000 203930 11	p: 11776.7 203917 11	s: 0.00620294
t: 110	r: 12220 207670 11	p: 12230.7 207659 11	s: 0.000291183
t: 111	r: 12442 211444 11	p: 12692.5 211413 11	s: 0.00671027
t: 112	r: 12666 215252 11	p: 12719.7 214981 11	s: 0.00147324
t: 113	r: 12892 219094 11	p: 12962.2 219240 11	s: 0.0018273
t: 114	r: 13120 222970 11	p: 12915.8 222854 11	s: 0.00519199
t: 115	r: 13350 226880 11	p: 13414.7 226789 11	s: 0.00162147
t: 116	r: 13582 230824 11	p: 13570.6 230775 11	s: 0.000287674
t: 117	r: 13816 234802 11	p: 13794.5 234614 11	s: 0.000582938
t: 118	r: 14052 238814 11	p: 14179.5 238690 11	s: 0.00302924
t: 119	r: 14290 242860 11	p: 14476 242790 11	s: 0.00433918
